id,type,recipe_id,param_name,param_value,notes,evidence_ids
param_llava_finetune_data_mixture,TrainingRecipeParameter,llava_1_5_13b_visual_instruction_finetune,data_mixture,LLaVA 158K|ShareGPT 40K|VQAv2 83K|GQA 72K|OKVQA 9K|OCRVQA 80K|A-OKVQA 66K|TextCaps 22K|RefCOCO 48K|VG 86K,Official LLaVA-1.5 665K instruction-following data mixture.,evidence_llava_1_5_paper|evidence_llava_official_repo
param_llava_finetune_group_by_modality,TrainingRecipeParameter,llava_1_5_13b_visual_instruction_finetune,group_by_modality_length,True,Only sample one modality per batch when instruction tuning data mixes language-only and multimodal conversations; repository notes about 25 percent speedup without affecting final outcome.,evidence_llava_1_5_paper|evidence_llava_official_repo|evidence_llava_finetune_script
param_llava_hd_no_extra_pretraining,TrainingRecipeParameter,llava_1_5_hd_13b_visual_instruction_finetune,additional_high_resolution_pretraining,false,LLaVA-1.5-HD performs visual instruction tuning directly on higher-resolution images without additional pretraining or projector pretraining.,evidence_llava_1_5_paper
param_llava_hd_target_resolutions,TrainingRecipeParameter,llava_1_5_hd_13b_visual_instruction_finetune,target_resolutions,up to 672x448 or 448x672,HD target-resolution selection supports grids up to six CLIP-native patches and uses resource-efficiency criteria.,evidence_llava_1_5_paper
param_llava_task_finetune_checkpoint,TrainingRecipeParameter,llava_1_5_13b_pretrained_task_finetune,model_name_or_path,liuhaotian/llava-v1.5-13b,Official task fine-tuning script starts from the pretrained LLaVA-1.5 13B checkpoint.,evidence_llava_task_finetune_script
param_llava_lora_rank,TrainingRecipeParameter,llava_1_5_13b_lora_visual_instruction_finetune,lora_r,128,Official LLaVA-1.5 LoRA rank.,evidence_llava_lora_script
param_llava_lora_alpha,TrainingRecipeParameter,llava_1_5_13b_lora_visual_instruction_finetune,lora_alpha,256,Official LLaVA-1.5 LoRA alpha.,evidence_llava_lora_script
param_llava_lora_projector_lr,TrainingRecipeParameter,llava_1_5_13b_lora_visual_instruction_finetune,mm_projector_lr,2e-5,Official LLaVA-1.5 LoRA projector learning rate.,evidence_llava_lora_script
param_qwen2_5_vl_3b_model_path,TrainingRecipeParameter,qwen2_5_vl_3b_custom_lora_finetune,model_name_or_path,Qwen/Qwen2.5-VL-3B-Instruct,Official Qwen VL fine-tuning README uses Qwen2.5-VL-3B-Instruct as the example pretrained model path.,evidence_qwen_vl_finetune_repo|evidence_qwen2_5_vl_3b_hf
param_qwen2_5_vl_3b_lr,TrainingRecipeParameter,qwen2_5_vl_3b_custom_lora_finetune,learning_rate,2e-7,Official Qwen VL fine-tuning script default learning rate.,evidence_qwen_vl_finetune_repo
param_qwen2_5_vl_3b_effective_batch,TrainingRecipeParameter,qwen2_5_vl_3b_custom_lora_finetune,effective_batch_per_gpu,16,per_device_train_batch_size=4 and gradient_accumulation_steps=4 in the official Qwen VL fine-tuning example.,evidence_qwen_vl_finetune_repo
param_qwen2_5_vl_3b_pixel_budget,TrainingRecipeParameter,qwen2_5_vl_3b_custom_lora_finetune,"min_pixels|max_pixels","16*28*28|576*28*28",Official Qwen VL fine-tuning example pixel budget for image inputs.,evidence_qwen_vl_finetune_repo
param_qwen2_5_vl_3b_video_budget,TrainingRecipeParameter,qwen2_5_vl_3b_custom_lora_finetune,"video_fps|video_min_frames|video_max_frames|video_max_pixels","2|4|8|1664*28*28",Official Qwen VL fine-tuning example video sampling and pixel-budget settings.,evidence_qwen_vl_finetune_repo
param_qwen2_5_vl_3b_lora,TrainingRecipeParameter,qwen2_5_vl_3b_custom_lora_finetune,"lora_r|lora_alpha|lora_dropout","8|16|0.0",Official Qwen VL fine-tuning example LoRA settings.,evidence_qwen_vl_finetune_repo
